			Domain: SAT	Domain: Ketoacyl-synt-N	Domain: Ketoacyl-synt-C	Domain: Acyl-tranferase	Domain: PT-fungal-PKS	Domain: PP-binding	Domain: AllPKSDomains_presentAbsent	Domain: Hydroxynapthalene-reductase	Domain: Scytalone-dehydratase	Domain: Tyrosinase	Domain: 4HPPD
Species: Ilyonectria-robusta	Phylum: Ascomycota	Order: Hypocreales	-73.79588001734407	-82.72124639904717	-43.6575773191778	-88.7447274948967	-106.16115090926274	-155.2757241303992	100	-105.431798275933	-82.38721614328027	-51.95860731484178	-132.4202164033832
Species: Ilyonectria-sp.	Phylum: Ascomycota	Order: Hypocreales	-74.79588001734407	-83.10790539730952	-43.6575773191778	-88.76955107862173	-106.06550154875643	-110.55284196865779	100	-95.92081875395237	-79.33724216831843	-51.74472749489669	-133.3665315444204
Species: Irpex-lacteus	Phylum: Basidiomycota	Order: Polyporales	-33.25963731050576	-80.27572413039921	-35.17392519729918	-72.82390874094432	-62.82390874094432	-22.657577319177793	100	-73.6197887582884	0	-50.6575773191778	0
Species: Issatchenkia-orientalis	Phylum: Ascomycota	Order: Saccharomycetales	-40.01772876696043	-54.22914798835786	-35.10237290870956	-95.31875876262441	0	-13.522878745280337	0	0	0	0	-112.53760200210104
Species: Issatchenkia-orientalis	Phylum: Ascomycota	Order: Saccharomycetales	-40.02227639471115	-54.22914798835786	-35.096910013008056	-95.31875876262441	0	-13.522878745280337	0	0	0	0	-112.55284196865779
Species: Issatchenkia-orientalis	Phylum: Ascomycota	Order: Saccharomycetales	-40.01772876696043	-54.22914798835786	-35.096910013008056	-95.31875876262441	0	-13.494850021680094	0	0	0	0	-112.4202164033832
Species: Jaapia-argillacea	Phylum: Basidiomycota	Order: Jaapiales	-27.853871964321762	-79.7447274948967	-36.537602002101046	-73.38721614328027	-71.18708664335715	-33.920818753952375	100	-124.22914798835785	0	-46.95860731484178	0
Species: Jahnula-aquatica	Phylum: Ascomycota	Order: Jahnulales	-80.45593195564973	-84.16115090926274	-39.30102999566398	-89.79588001734407	-113.3767507096021	-85.3767507096021	100	-131.72124639904717	-86.19382002601611	-52.74472749489669	-140.2757241303992
Species: Jaminaea-sp.	Phylum: Basidiomycota	Order: Microstromatales	-33.50863830616573	-49.795880017344075	-26.318758762624412	-26.795880017344075	0	-38.920818753952375	0	0	0	0	0
Species: Jimgerdemannia-flammicorona	Phylum: Mucoromycota	Order: Endogonales	0	-55.08618614761628	-36.537602002101046	-26.72124639904717	0	-12.853871964321762	0	0	0	0	0
Species: Jimgerdemannia-flammicorona	Phylum: Mucoromycota	Order: Endogonales	-29.602059991327963	-34.88605664769317	-36.44369749923271	-73.69897000433602	0	-10.346787486224656	0	0	0	0	0
Species: Jimgerdemannia-lactiflua	Phylum: Mucoromycota	Order: Endogonales	-31.431798275933005	-18.886056647693163	-12.958607314841775	-73.29242982390207	0	-12.886056647693163	0	-64.95860731484177	0	0	0
Species: Kalaharituber-pfeilii	Phylum: Ascomycota	Order: Pezizales	-78.11918640771921	-73.25963731050575	-39.769551078621724	-93.2518119729938	-125.48148606012211	-58.6575773191778	100	-75.27572413039921	0	-52.920818753952375	-125.21467016498923
Species: Karstenula-rhodostoma	Phylum: Ascomycota	Order: Pleosporales	-78.95860731484177	-79.95860731484177	-40.00436480540245	-90.52287874528034	-117.65757731917779	-76.52287874528034	100	-128.82390874094432	-81.85387196432177	-51.82390874094432	-137.82390874094432
Species: Kazachstania-africana	Phylum: Ascomycota	Order: Saccharomycetales	-35.356547323513816	-45.60205999132796	-32.88605664769317	-101.36653154442041	0	-14.086186147616283	0	0	0	0	0
Species: Khuskia-oryzae	Phylum: Ascomycota	Order: Trichosphaeriales	-80.16749108729377	-80.67778070526609	-39.0268721464003	-88.17392519729917	-115.88605664769317	-54.74472749489669	100	-136.4814860601221	-94.20760831050174	-51.481486060122116	-133.76955107862173
Species: Kickxella-alabastrina	Phylum: Zoopagomycota	Order: Kickxellales	-26.327902142064282	-46.95860731484178	-28.080921907623924	-63.07572071393812	0	-12.537602002101044	0	0	0	-27.366531544420415	-133.2518119729938
Species: Mucor-cordense	Phylum: Mucoromycota	Order: Mucorales	-29.795880017344075	-60.283996656365204	-36.920818753952375	-73.50863830616572	0	-12.886056647693163	0	0	0	0	-130.18708664335713
Species: Kluyveromyces-lactis	Phylum: Ascomycota	Order: Saccharomycetales	-36.337242168318426	-44.88605664769317	-34.85387196432176	-105.23657200643706	0	-13.102372908709558	0	0	0	0	0
Species: Kockovaella-imperatae	Phylum: Basidiomycota	Order: Tremellales	-32.69897000433602	-24.455931955649724	-17.23657200643706	-69.18708664335715	0	-14.619788758288394	0	0	0	0	-139.72124639904717
Species: Kuraishia-capsulata	Phylum: Ascomycota	Order: Saccharomycetales	-39.25963731050576	-56.420216403383186	-33.44369749923271	-96.88605664769317	0	-14.154901959985743	0	0	0	0	-113.58502665202919
Species: Lactarius-akahatsu	Phylum: Basidiomycota	Order: Russulales	-32.55284196865778	-81.21467016498923	-33.72124639904717	-67.07058107428571	-52.10237290870956	-13.585026652029182	100	0	0	-51.6575773191778	0
Species: Laccaria-amethystina	Phylum: Basidiomycota	Order: Agaricales	-34.795880017344075	-73.2839966563652	-35.19382002601611	-73.34678748622466	-67.76955107862173	-25.795880017344075	100	-67.95860731484177	0	-54.60205999132796	0
Species: Laccaria-bicolor	Phylum: Basidiomycota	Order: Agaricales	-34.11918640771921	-74.07572071393813	-35.01772876696043	-72.69897000433602	-69.60205999132796	-13.455931955649724	100	-65.05060999335508	0	-56.09151498112135	0
Species: Lactarius-deliciosus	Phylum: Basidiomycota	Order: Russulales	-28.522878745280337	-81.44369749923271	-33.74472749489669	-65.07572071393813	-51.14874165128092	-13.920818753952375	100	0	0	-37.67778070526608	0
Species: Lactarius-hatsudake	Phylum: Basidiomycota	Order: Russulales	-28.031517051446066	-81.55284196865779	-33.82390874094432	-66.50863830616572	-49.95860731484178	-14.013228265733755	100	-55.85387196432176	0	-51.36653154442041	0
Species: Lactarius-hengduanensis	Phylum: Basidiomycota	Order: Russulales	-32.20760831050175	-80.92081875395237	-33.82390874094432	-67.4089353929735	0	-12.10790539730952	0	-57.070581074285705	0	-51.619788758288394	0
Species: Lactarius-psammicola	Phylum: Basidiomycota	Order: Russulales	-31.045757490560675	-78.85387196432177	-27.568636235841012	-65.82390874094432	0	-12.346787486224656	0	-56.55284196865778	0	-36.39794000867204	0
Species: Lactarius-pseudohatsudake	Phylum: Basidiomycota	Order: Russulales	-32.10790539730952	-80.92081875395237	-33.69897000433602	-67.24412514432751	-52.16749108729376	-13.275724130399212	100	0	0	-51.46852108295774	0
Species: Lactarius-quietus	Phylum: Basidiomycota	Order: Russulales	-17.481486060122112	-79.7447274948967	-35.04095860767891	-38.82390874094432	-50.1249387366083	-13.3767507096021	0	-55.619788758288394	0	-49.455931955649724	0
Species: Lactarius-sanguifluus	Phylum: Basidiomycota	Order: Russulales	-23.853871964321762	-81.72124639904717	-33.72124639904717	-56.920818753952375	-50.67778070526608	-13.173925197299173	100	-58.19382002601611	0	-51.585026652029185	0
Species: Lachnellula-subtilissima	Phylum: Ascomycota	Order: Helotiales	-38.82390874094432	-73.85387196432177	-42.16749108729376	-89.95860731484177	0	-82.2839966563652	0	-76.95860731484177	0	-50.18708664335715	-134.6777807052661
Species: Lactifluus-subvellereus	Phylum: Basidiomycota	Order: Russulales	-27.161150909262744	-78.85387196432177	-35.0	-66.79588001734407	-55.236572006437065	-12.455931955649724	100	-56.136677139879545	0	-50.455931955649724	0
Species: Lactarius-vividus	Phylum: Basidiomycota	Order: Russulales	-32.55284196865778	-80.04575749056067	-19.619788758288394	-54.6575773191778	-51.585026652029185	-14.585026652029182	100	0	0	-51.56863623584101	0
Species: Lactifluus-volemus	Phylum: Basidiomycota	Order: Russulales	-29.657577319177793	-78.46852108295775	-35.10790539730952	-67.22914798835785	-58.3767507096021	-13.4089353929735	100	-56.17392519729918	0	-50.0	0
Species: Laetiporus-sulphureus	Phylum: Basidiomycota	Order: Polyporales	-33.74472749489669	-80.05551732784983	-36.309803919971486	-69.85387196432177	0	-17.09151498112135	0	0	0	-44.22914798835786	0
Species: Lasiosphaeris-hispida	Phylum: Ascomycota	Order: Sordariales	-79.06550154875643	-81.04575749056067	-43.045757490560675	-89.02687214640031	-111.16115090926274	-65.32790214206429	100	-137.3279021420643	-91.38721614328027	-53.88605664769317	-128.69897000433602
Species: Lasiosphaeris-hirsuta	Phylum: Ascomycota	Order: Sordariales	-79.4089353929735	-76.76955107862173	-40.136677139879545	-88.95860731484177	-110.72124639904717	-68.08618614761629	100	-126.16749108729377	-91.36653154442041	-53.6575773191778	-128.79588001734407
Species: Lasiosphaeria-miniovina	Phylum: Ascomycota	Order: Sordariales	-79.32790214206429	-79.10790539730952	-38.44369749923271	-87.7447274948967	-116.65757731917779	-55.309803919971486	100	-132.0409586076789	-93.36653154442041	-53.10237290870956	-126.76955107862173
Species: Lasiosphaeria-ovina	Phylum: Ascomycota	Order: Sordariales	-80.95860731484177	-79.08092190762393	-40.0	-87.20065945054642	-117.00436480540245	-72.10237290870955	100	-138.15490195998575	-93.36653154442041	-53.036212172654444	-126.10237290870955
Species: Laxitextum-bicolor	Phylum: Basidiomycota	Order: Russulales	-33.25963731050576	-77.92081875395237	-37.85387196432176	-65.53760200210104	-69.16115090926274	-22.886056647693163	100	-74.88605664769317	0	-55.85387196432176	0
Species: Lecythophora-sp.	Phylum: Ascomycota	Order: Coniochaetales	-70.69897000433602	-79.79588001734407	-38.50863830616573	-92.72124639904717	-113.95860731484177	-73.09691001300806	100	-137.6777807052661	-89.48148606012211	-55.60205999132796	-132.1079053973095
Species: Leiotrametes-sp	Phylum: Basidiomycota	Order: Polyporales	-34.74472749489669	-76.03151705144606	-35.161150909262744	-72.0	0	-34.63827216398241	0	-74.67778070526609	0	-55.44369749923271	0
Species: Lentinula-afn.	Phylum: Basidiomycota	Order: Agaricales	-30.638272163982407	-76.65757731917779	-37.18708664335715	-72.52287874528034	-50.619788758288394	-24.06048074738138	100	-73.85387196432177	0	-54.67778070526608	0
Species: Lentinula-afn.	Phylum: Basidiomycota	Order: Agaricales	-31.10790539730952	-77.4202164033832	-37.309803919971486	-72.431798275933	-50.18708664335715	-22.1249387366083	100	-72.56863623584101	0	-54.769551078621724	0
Species: Lentinula-edodes	Phylum: Basidiomycota	Order: Agaricales	-29.42021640338319	-77.07572071393813	-36.920818753952375	-71.10790539730952	0	-24.200659450546418	0	0	0	-44.11350927482752	0
Species: Lentinula-edodes	Phylum: Basidiomycota	Order: Agaricales	-31.42021640338319	-78.60205999132796	-36.74472749489669	-72.7447274948967	-49.72124639904717	-24.4089353929735	100	-74.06048074738138	0	-52.82390874094432	0
Species: Lentithecium-fluviatile	Phylum: Ascomycota	Order: Pleosporales	-80.44369749923271	-79.50863830616572	-40.920818753952375	-90.92081875395237	-121.92081875395237	-72.38721614328027	100	-133.45593195564973	-86.82390874094432	-53.17392519729918	-138.79588001734407
Species: Lentinula-lateritia	Phylum: Basidiomycota	Order: Agaricales	-30.494850021680094	-78.6382721639824	-36.95860731484178	-72.7447274948967	-50.214670164989236	-26.346787486224656	100	-73.67778070526609	0	-54.31875876262441	0
Species: Lentinula-novae-zelandiae	Phylum: Basidiomycota	Order: Agaricales	-30.602059991327963	-76.11918640771921	-37.01772876696043	-71.76955107862173	-49.69897000433602	-16.2518119729938	100	-73.69897000433602	0	-54.408935392973504	0
Species: Lentinula-raphanica	Phylum: Basidiomycota	Order: Agaricales	-34.0268721464003	-80.0	-37.95860731484178	-72.60205999132796	0	-20.468521082957746	0	-69.2839966563652	0	-54.585026652029185	0
Species: Lentinula-raphanica	Phylum: Basidiomycota	Order: Agaricales	-33.60205999132796	-79.2518119729938	-37.95860731484178	-72.56863623584101	0	-20.0	0	-69.24412514432751	0	-54.95860731484178	0
Species: Lentinula-raphanica	Phylum: Basidiomycota	Order: Agaricales	-33.63827216398241	-77.35654732351381	-38.15490195998574	-72.58502665202919	0	-20.886056647693163	0	-68.95860731484177	0	-54.82390874094432	0
Species: Lentinus-tigrinus	Phylum: Basidiomycota	Order: Polyporales	-30.638272163982407	-73.7447274948967	-36.31875876262441	-72.88605664769317	-55.161150909262744	-34.95860731484178	0	-76.95860731484177	0	-56.214670164989236	0
Species: Lentinus-tigrinus	Phylum: Basidiomycota	Order: Polyporales	-30.638272163982407	-68.79588001734407	-36.32790214206428	-72.88605664769317	-55.17392519729918	-34.95860731484178	0	-76.95860731484177	0	-56.221848749616356	0
Species: Lentinellus-vulpinus	Phylum: Basidiomycota	Order: Russulales	-28.853871964321762	-80.18045606445813	-35.44369749923271	-68.82390874094432	-68.6382721639824	-18.72124639904717	100	-70.29242982390207	0	-51.346787486224656	0
Species: Leptoporus-mollis	Phylum: Basidiomycota	Order: Polyporales	-31.494850021680094	-79.6382721639824	-32.82390874094432	-70.21467016498923	-67.79588001734407	-25.920818753952375	100	-71.11350927482752	0	-49.055517327849834	0
Species: Leptosphaeria-maculans	Phylum: Ascomycota	Order: Pleosporales	-79.67778070526609	-81.36653154442041	-39.46852108295774	-87.6197887582884	-116.76955107862173	-73.30980391997149	100	-132.00877392430752	-85.38721614328027	-56.795880017344075	-130.3665315444204
Species: Lepista-nuda	Phylum: Basidiomycota	Order: Agaricales	-31.619788758288394	-76.4089353929735	-36.50863830616573	-69.95860731484177	-71.07572071393813	-25.10790539730952	100	-71.18045606445813	0	-46.920818753952375	0
Species: Leptodontidium-orchidicola	Phylum: Ascomycota	Order: Helotiales	-77.36653154442041	-80.07058107428571	-41.95860731484178	-87.431798275933	-119.7447274948967	-57.82390874094432	100	-137.25963731050575	-87.431798275933	-55.46852108295774	-135.2518119729938
Species: Lepidopterella-palustris	Phylum: Ascomycota	Order: Mytilinidiales	-82.85387196432177	-82.88605664769317	-37.619788758288394	-88.48148606012211	-117.23657200643706	-50.494850021680094	100	-138.6575773191778	-84.69897000433602	-56.20065945054642	-141.3565473235138
Species: Leptodontium-sp.	Phylum: Streptophyta	Order: Pottiales	-77.0	-80.69897000433602	-41.136677139879545	-87.4202164033832	-119.72124639904717	-77.26760624017703	100	-137.18708664335713	-87.22914798835785	-55.07572071393812	-137.5528419686578
Species: Leucosporidiella-creatinivora	Phylum: Basidiomycota	Order: Leucosporidiales	-29.161150909262744	-24.853871964321762	-14.309803919971486	-68.56863623584101	0	-23.50863830616573	0	0	0	0	0
Species: Leucoagaricus-gongylophorus	Phylum: Basidiomycota	Order: Agaricales	-32.72124639904717	-64.60205999132796	-37.420216403383186	-53.045757490560675	-67.33724216831843	-14.823908740944319	0	-62.69897000433602	0	-48.85387196432176	0
Species: Leucogyrophana-mollusca	Phylum: Basidiomycota	Order: Boletales	-32.221848749616356	-78.36653154442041	-33.408935392973504	-74.03621217265444	-63.136677139879545	-33.19382002601611	100	0	0	-42.920818753952375	0
Species: Lichtheimia-corymbifera	Phylum: Mucoromycota	Order: Mucorales	-32.95860731484178	-58.356547323513816	-36.119186407719205	-70.48148606012211	0	-12.619788758288394	0	0	0	0	-129.92081875395237
Species: Lichtheimia-hyalospora	Phylum: Mucoromycota	Order: Mucorales	-32.82390874094432	-59.036212172654444	-36.180456064458134	-70.05551732784983	0	-13.769551078621726	0	0	0	0	-130.06550154875643
Species: Lindgomyces-ingoldianus	Phylum: Ascomycota	Order: Pleosporales	-80.4948500216801	-84.56863623584101	-38.09151498112135	-90.72124639904717	-119.58502665202919	-82.44369749923271	100	-133.09151498112135	-87.88605664769317	-52.74472749489669	-142.52287874528034
Species: Linderina-pennispora	Phylum: Zoopagomycota	Order: Kickxellales	-25.4089353929735	-44.39794000867204	-18.327902142064282	-57.481486060122116	0	-14.080921907623926	0	0	0	-30.494850021680094	-132.39794000867204
Species: Lineolata-rhizophorae	Phylum: Ascomycota	Order: Dothideales	-39.1249387366083	-78.48148606012211	-35.070581074285705	-82.95860731484177	-117.13076828026902	-58.27572413039921	100	-135.82390874094432	-89.05060999335508	-51.0268721464003	-139.52287874528034
Species: Lindra-thalassiae	Phylum: Ascomycota	Order: Lulworthiales	-72.95860731484177	-77.82390874094432	-36.10790539730952	-87.30980391997149	-112.65757731917779	-39.26760624017703	100	-136.60205999132796	-81.00436480540245	-51.63827216398241	-127.0087739243075
Species: Lipomyces-starkeyi	Phylum: Ascomycota	Order: Saccharomycetales	-38.136677139879545	-60.6575773191778	-31.67778070526608	-88.76955107862173	0	-47.95860731484178	0	-74.46852108295775	0	0	-129.22184874961636
Species: Lizonia-empirigonia	Phylum: Ascomycota	Order: Pseudoperisporiaceae - no_o_rank	-80.69897000433602	-81.04575749056067	-39.82390874094432	-88.92081875395237	-117.4089353929735	-52.537602002101046	100	-129.0	-84.4948500216801	-54.309803919971486	-141.1191864077192
Species: Lobaria-pulmonaria	Phylum: Ascomycota	Order: Peltigerales	-80.88605664769317	-81.7447274948967	-41.38721614328026	-88.7447274948967	-126.67778070526609	-61.2518119729938	100	-123.39794000867204	-72.16115090926274	-54.02227639471115	-135.88605664769315
Species: Lobaria-pulmonaria	Phylum: Ascomycota	Order: Peltigerales	-81.72124639904717	-80.95860731484177	-41.22914798835786	-87.48148606012211	-126.65757731917779	-51.02227639471115	100	-123.0	-72.14874165128093	-54.00436480540245	-135.79588001734407
Species: Lobaria-pulmonaria	Phylum: Ascomycota	Order: Peltigerales	-80.85387196432177	-81.72124639904717	-41.2518119729938	-87.44369749923271	-126.56863623584101	-61.19382002601611	100	-123.431798275933	-72.13667713987954	-54.0	-135.88605664769315
Species: Lobaria-pulmonaria	Phylum: Ascomycota	Order: Peltigerales	-80.85387196432177	-81.72124639904717	-41.22914798835786	-87.45593195564973	-126.65757731917779	-61.19382002601611	100	-123.44369749923271	-72.14266750356873	-54.00436480540245	-135.88605664769315
Species: Lobaria-pulmonaria	Phylum: Ascomycota	Order: Peltigerales	-81.72124639904717	-80.95860731484177	-41.38721614328026	-87.44369749923271	-126.65757731917779	-51.0	100	-123.36653154442041	-72.13667713987954	-53.74472749489669	-135.76955107862173
Species: Lobosporangium-transversale	Phylum: Mucoromycota	Order: Mortierellales	-30.494850021680094	-56.920818753952375	-36.795880017344075	-71.4948500216801	0	-11.148741651280925	0	-68.27572413039921	0	0	-141.76955107862173
Species: Lodderomyces-elongisporus	Phylum: Ascomycota	Order: Saccharomycetales	-34.619788758288394	-51.46852108295774	-34.420216403383186	-94.35654732351381	0	-12.2518119729938	0	0	0	0	0
Species: Lollipopaia-minuta	Phylum: Ascomycota	Order: Diaporthales	-78.46852108295775	-79.27572413039921	-37.17392519729918	-89.11350927482752	-113.50863830616572	-57.04095860767891	100	-135.3565473235138	-87.25963731050575	-50.72124639904717	-132.3098039199715
Species: Mytilinidiaceae-sp.	Phylum: Ascomycota	Order: Mytilinidiales	-80.92081875395237	-80.17392519729917	-37.46852108295774	-70.03151705144606	-114.18045606445813	-52.52287874528034	100	-136.5528419686578	-85.08092190762393	-53.09151498112135	-141.82390874094432
Species: Lophiostoma-macrostomum	Phylum: Ascomycota	Order: Pleosporales	-79.72124639904717	-82.05551732784983	-40.0	-90.25963731050575	-114.72124639904717	-74.20065945054642	100	-131.95860731484177	-85.07058107428571	-50.537602002101046	-140.568636235841
Species: Lophium-mytilinum	Phylum: Ascomycota	Order: Mytilinidiales	-79.3767507096021	-80.72124639904717	-41.096910013008056	-89.01322826573376	-112.48148606012211	-56.055517327849834	100	-136.69897000433602	-85.53760200210104	-53.85387196432176	-140.53760200210104
Species: Peniophora-sp.	Phylum: Basidiomycota	Order: Russulales	-32.46852108295774	-77.09691001300806	-35.481486060122116	-71.45593195564973	-66.82390874094432	-49.05060999335509	100	-71.79588001734407	0	-54.08618614761628	0
Species: Lophodermium-nitens	Phylum: Ascomycota	Order: Rhytismatales	-75.79588001734407	-81.08618614761629	-40.180456064458134	-88.4089353929735	-125.6382721639824	-60.38721614328026	100	-134.95860731484177	-73.95860731484177	-50.56863623584101	-131.08092190762392
Species: Lophiotrema-nucula	Phylum: Ascomycota	Order: Pleosporales	-79.0	-79.0	-37.920818753952375	-87.17392519729917	-115.4202164033832	-74.85387196432177	100	-134.3187587626244	-87.55284196865779	-53.420216403383186	-139.95860731484177
Species: Loramyces-juncicola	Phylum: Ascomycota	Order: Helotiales	-74.16115090926274	-77.09691001300806	-41.14266750356873	-89.45593195564973	-119.65757731917779	-46.236572006437065	100	-136.431798275933	-85.58502665202919	-56.14874165128092	-136.4948500216801
Species: Loramyces-macrosporus	Phylum: Ascomycota	Order: Helotiales	-74.03151705144606	-83.30980391997149	-41.14266750356873	-89.46852108295775	-119.36653154442041	-56.769551078621724	100	-135.79588001734407	-86.46852108295775	-55.920818753952375	-135.53760200210104
Species: Lycoperdon-perlatum	Phylum: Basidiomycota	Order: Agaricales	-27.657577319177793	-83.02227639471116	-35.920818753952375	-70.92081875395237	-52.82390874094432	-33.29242982390206	100	-67.33724216831843	0	-53.096910013008056	0
Species: Macroventuria-anomochaeta	Phylum: Ascomycota	Order: Pleosporales	-81.72124639904717	-79.10790539730952	-37.309803919971486	-88.95860731484177	-117.88605664769317	-99.2839966563652	100	-132.0268721464003	-86.31875876262441	-51.24412514432751	-140.6197887582884
Species: Macrolepiota-fuliginosa	Phylum: Basidiomycota	Order: Agaricales	-35.55284196865778	-80.7447274948967	-34.431798275933005	-69.00436480540245	-59.420216403383186	-11.42021640338319	100	-61.619788758288394	0	-54.63827216398241	0
Species: Macrophomina-phaseolina	Phylum: Ascomycota	Order: Botryosphaeriales	-80.46852108295775	-286.63827216398244	-154.60205999132796	-90.24412514432751	-110.95860731484177	-127.06550154875643	100	-134.7447274948967	-92.19382002601611	-53.795880017344075	-137.79588001734407
Species: Macrophomina-phaseolina	Phylum: Ascomycota	Order: Botryosphaeriales	-80.22914798835785	-86.50863830616572	-40.537602002101046	-90.2518119729938	-111.19382002601611	-56.74472749489669	100	-133.11350927482752	-92.29242982390207	-53.795880017344075	-137.76955107862173
Species: Magnaporthe-grisea	Phylum: Ascomycota	Order: Magnaporthales	-82.36653154442041	-76.48148606012211	-39.36653154442041	-79.20065945054642	-119.17392519729917	-52.69897000433602	100	-132.3665315444204	-99.06550154875643	-51.50863830616573	-133.69897000433602
Species: Magnaporthiopsis-poae	Phylum: Ascomycota	Order: Magnaporthales	-78.88605664769317	-75.69897000433602	-38.6575773191778	-86.16115090926274	-114.82390874094432	-46.95860731484178	100	-137.7447274948967	-96.79588001734407	-52.32790214206428	0
Species: Malassezia-globosa	Phylum: Basidiomycota	Order: Malasseziales	0	-62.10790539730952	-32.02227639471115	-41.1249387366083	0	-19.0	0	0	0	0	0
Species: Malassezia-sympodialis	Phylum: Basidiomycota	Order: Malasseziales	0	-63.769551078621724	-32.95860731484178	-40.69897000433602	0	-41.22914798835786	0	0	0	0	0
Species: Mariannaea-sp.	Phylum: Ascomycota	Order: Hypocreales	-71.88605664769317	-82.26760624017703	-37.494850021680094	-91.7447274948967	-107.85387196432177	-90.65757731917779	100	-77.6197887582884	0	-45.88605664769317	-134.02227639471116
Species: Marssonina-brunnea	Phylum: Ascomycota	Order: Helotiales	-79.52287874528034	-78.1249387366083	-41.431798275933005	-88.09691001300806	-119.10790539730952	-53.795880017344075	100	-135.09691001300806	-87.23657200643706	-51.63827216398241	-136.2441251443275
Species: Marasmius-fiardii	Phylum: Basidiomycota	Order: Agaricales	-32.420216403383186	-77.44369749923271	-35.920818753952375	-68.60205999132796	-68.20065945054642	-35.63827216398241	100	-69.95860731484177	0	-54.309803919971486	0
Species: Martensiomyces-pterosporus	Phylum: Zoopagomycota	Order: Kickxellales	-25.356547323513812	-55.795880017344075	-37.080921907623924	-64.03621217265444	0	-14.022276394711152	0	0	0	-28.82390874094432	-130.82390874094432
Species: Massarina-eburnea	Phylum: Ascomycota	Order: Pleosporales	-80.26760624017703	-81.88605664769317	-40.494850021680094	-89.79588001734407	-116.95860731484177	-70.4948500216801	100	-134.431798275933	-49.32790214206428	-52.22914798835786	-137.95860731484177
Species: Massariosphaeria-phaeospora	Phylum: Ascomycota	Order: Pleosporales	-76.95860731484177	-79.02687214640031	-40.080921907623924	-89.95860731484177	-116.95860731484177	-74.23657200643706	100	-134.6197887582884	-88.6382721639824	-55.408935392973504	-136.85387196432177
Species: Meira-miltonrushii	Phylum: Basidiomycota	Order: Exobasidiales	-30.022276394711152	-21.568636235841012	-15.508638306165727	-39.769551078621724	0	-34.09151498112135	0	0	0	-9.958607314841775	0
Species: Melampsora-americana	Phylum: Basidiomycota	Order: Pucciniales	-28.173925197299173	-26.494850021680094	-14.958607314841775	-70.46852108295775	0	-14.366531544420413	0	0	0	-47.82390874094432	0
Species: Melampsora-allii-populina	Phylum: Basidiomycota	Order: Pucciniales	-29.67778070526608	-25.958607314841775	-14.795880017344075	-70.53760200210104	0	-13.823908740944319	0	0	0	-48.30102999566398	0
Species: Meliniomyces-bicolor	Phylum: Ascomycota	Order: Helotiales	-78.18045606445813	-77.26760624017703	-40.769551078621724	-89.27572413039921	-122.6382721639824	-63.455931955649724	100	-128.76955107862173	-88.09151498112135	-55.420216403383186	-137.5528419686578
Species: Melanogaster-broomeianus	Phylum: Basidiomycota	Order: Boletales	-23.795880017344075	-73.72124639904717	-33.795880017344075	-72.67778070526609	0	-35.6575773191778	0	0	0	-44.30102999566398	0
Species: Melanotaenium-endogenum	Phylum: Basidiomycota	Order: Urocystidales	-32.619788758288394	-74.431798275933	-29.602059991327963	-64.09691001300806	-57.09151498112135	-73.92081875395237	0	0	0	-25.259637310505756	-135.06048074738138
Species: Melampsora-lini	Phylum: Basidiomycota	Order: Pucciniales	-29.82390874094432	-26.346787486224656	-14.67778070526608	-70.69897000433602	0	-32.24412514432751	0	0	0	-31.136677139879545	0
Species: Melampsora-larici-populina	Phylum: Basidiomycota	Order: Pucciniales	-29.08618614761628	-26.431798275933005	-14.744727494896694	-70.95860731484177	0	-13.886056647693163	0	0	0	-49.455931955649724	0
Species: Melampsora-medusae	Phylum: Basidiomycota	Order: Pucciniales	-29.69897000433602	-26.4089353929735	-14.387216143280265	-69.7447274948967	0	-13.853871964321762	0	0	0	-49.0	0
Species: Melampsora-medusae	Phylum: Basidiomycota	Order: Pucciniales	-29.82390874094432	-26.455931955649724	-14.443697499232712	-69.79588001734407	0	-13.920818753952375	0	0	0	-49.19382002601611	0
Species: Melanomma-pulvis-pyrius	Phylum: Arthropoda	Order: Lepidoptera	-80.38721614328027	-81.52287874528034	-41.045757490560675	-90.95860731484177	-118.95860731484177	-77.85387196432177	100	-134.4089353929735	-82.85387196432177	-54.420216403383186	-138.3767507096021
Species: Melanconium-sp.	Phylum: Ascomycota	Order: Diaporthales	-78.55284196865779	-81.82390874094432	-40.356547323513816	-87.76955107862173	-113.04575749056067	-64.95860731484177	100	-136.85387196432177	-94.31875876262441	-50.11350927482752	-129.3665315444204
Species: Melanospora-tiffanyae	Phylum: Ascomycota	Order: Melanosporales	-48.88605664769317	-76.6382721639824	-39.17392519729918	-85.07058107428571	-108.82390874094432	-47.920818753952375	100	-134.14266750356873	-89.85387196432177	-46.309803919971486	-128.14266750356873
Species: Melanops-tulasnei	Phylum: Ascomycota	Order: Botryosphaeriales	-82.92081875395237	-85.79588001734407	-41.1249387366083	-88.95860731484177	-122.48148606012211	-63.070581074285705	100	-136.7447274948967	-87.6197887582884	-54.11918640771921	-141.2839966563652
Species: Meliniomyces-variabilis	Phylum: Ascomycota	Order: Helotiales	-79.4089353929735	-83.0	-41.795880017344075	-89.0	-121.24412514432751	-69.3767507096021	100	-134.60205999132796	-84.22184874961636	-55.38721614328026	-136.6197887582884
